human_id,wikidata_id
The top 100 papers,Q28250597
The origin and evolution of cell types,Q38798014
Make code accessible with these cloud services,Q91130546
Genetic address book for retinal cell types.,Q43299861
A community-based transcriptomics classification and nomenclature of neocortical cell types,Q98665291
The network effect: studying COVID-19 pathology with the Human Cell Atlas,Q96817154
Comprehensive Classification of Retinal Bipolar Neurons by Single-Cell Transcriptomics.,Q40967362
"Identifiers for the 21st century: How to design, provision, and reuse persistent identifiers to maximize utility and impact of life science data",Q33037209
The human disease network,Q24678240
The evolving concept of cell identity in the single cell era,Q93086971
"PRINTS and its automatic supplement, prePRINTS.",Q34169535
The naming of neurons: applications of taxonomic theory to the study of cellular populations.,Q34065481
Making your database available through Wikipedia: the pros and cons,Q28254676
ezTag: tagging biomedical concepts via interactive learning.,Q55483834
"GNormPlus: An Integrative Approach for Tagging Genes, Gene Families, and Protein Domains",Q28200510
tmVar 2.0: integrating genomic variant information from literature with dbSNP and ClinVar for precision medicine.,Q47317210
Assisting manual literature curation for protein-protein interactions using BioQRator,Q33928865
Neuronal diversity and convergence in a visual system developmental atlas,Q101226729
